# I$ shadow per-block record, core lightning
# geometry: 32 sets x 2 ways x 4 words = 64 blocks
# totals: probes=21513 real_miss=20 miss_cycles=20 shadow_miss=13 phantom=7 pessimistic=0 cancels=793
# block       probes  real_miss  shadow_miss  phantom  first_cycle
0x00400000  2  1  1  0  3
0x00400010  451  1  1  0  12
0x00400020  3723  3  1  2  64
0x00400030  3358  1  1  0  160
0x00400040  3779  1  1  0  70
0x00400050  3780  1  1  0  21
0x00400060  871  1  1  0  30
0x00400070  814  1  1  0  39
0x00400080  1318  1  1  0  48
0x00400090  1317  3  1  2  57
0x004000a0  1288  4  1  3  95
0x004000b0  811  1  1  0  179
0x004000c0  1  1  1  0  22427
